productid,imageid,pixels
3587210103,1224841829,[0 0 0 ... 0 0 0]
3868242126,1255100613,[0 0 0 ... 0 0 0]
271910969,1283037797,[0 0 0 ... 0 0 0]
278562814,977933381,[0 0 0 ... 0 0 0]
3908516708,1262538002,[2 2 2 ... 0 0 0]
794067087,1039390890,[0 0 0 ... 0 0 0]
3813570941,1247849112,[0 0 0 ... 0 0 0]
187260608,931993898,[0 0 0 ... 0 0 0]
2747655003,1162088765,[0 0 0 ... 0 0 0]
70999502,875616338,[1 1 1 ... 0 0 0]
3181235966,1208549496,[0 0 0 ... 0 0 0]
4045061084,1280435128,[0 0 0 ... 0 0 0]
2035478882,1121419994,[0 0 0 ... 0 0 0]
4024035225,1277425367,[0 0 0 ... 0 0 0]
3884057438,1258098895,[0 0 0 ... 0 0 0]
229510211,958782730,[0 0 0 ... 0 0 0]
4002433027,1274955796,[0 0 0 ... 0 0 0]
3893212709,1260282846,[0 0 0 ... 0 0 0]
4088652693,1289534899,[0 0 0 ... 0 0 0]
1390963722,1078063491,[0 0 0 ... 0 0 0]
109763875,867571898,[0 0 0 ... 0 0 0]
4232365572,1323981118,[0 0 0 ... 0 0 0]
4061614369,1283792526,[0 0 0 ... 0 0 0]
3708963891,1236496677,[0 0 0 ... 0 0 0]
2350123450,1137657211,[0 0 0 ... 0 0 0]
4037577276,1279066275,[0 0 0 ... 0 0 0]
3929900612,1265216383,[0 0 0 ... 0 0 0]
3287287867,1204247473,[0 0 0 ... 0 0 0]
4200875827,1316167416,[0 0 0 ... 0 0 0]
4006497211,1275575646,[0 0 0 ... 0 0 0]
4012179027,1276224679,[0 0 0 ... 0 0 0]
47297522,325179830,[0 0 0 ... 0 0 0]
1596157948,1093233214,[0 0 0 ... 0 0 0]
4172827198,1307821492,[0 0 0 ... 0 0 0]
1376217929,1077606169,[0 0 0 ... 0 0 0]
4171233833,1307354317,[0 0 0 ... 0 0 0]
4089926799,1289805671,[ 0  0  0 ... 14 16 22]
2121747390,1127347930,[0 0 0 ... 0 0 0]
3728983451,1238549689,[0 0 0 ... 0 0 0]
4214461536,1319530658,[0 0 0 ... 0 0 0]
302009442,994012749,[0 0 0 ... 0 0 0]
3905724694,1262173150,[0 0 0 ... 0 0 0]
4182217899,1310093485,[0 0 0 ... 0 0 0]
4057766007,1282853143,[0 0 0 ... 0 0 0]
1945574710,1115471579,[0 0 0 ... 0 0 0]
3979561479,1271691719,[0 0 0 ... 4 4 4]
4199656518,1313646851,[0 0 0 ... 0 0 0]
138765937,940532169,[0 0 0 ... 0 0 0]
3856588877,1253395607,[0 0 0 ... 0 0 0]
123753898,878431517,[0 0 0 ... 0 0 0]
205339520,940914071,[0 0 0 ... 0 0 0]
281359302,979111119,[0 0 0 ... 0 0 0]
3942397997,1267333592,[0 0 0 ... 0 0 0]
1284158917,1109423758,[0 0 0 ... 0 0 0]
3639922860,1230829556,[0 0 0 ... 0 0 0]
474262215,1015195108,[0 0 0 ... 0 0 0]
3028261980,1186394491,[0 0 0 ... 0 0 0]
4229643296,1322040859,[0 0 0 ... 0 0 0]
4003965259,1275374117,[0 0 0 ... 0 0 0]
3992581576,1273419832,[0 0 0 ... 0 0 0]
119464706,1126973380,[0 0 0 ... 0 0 0]
4236298127,1324207655,[0 0 0 ... 0 0 0]
231453073,1127977187,[0 0 0 ... 0 0 0]
468549679,1066985127,[0 0 0 ... 0 0 0]
3079300320,1189478109,[0 0 0 ... 0 0 0]
436061054,1008132276,[0 0 0 ... 0 0 0]
4186981218,1311307517,[0 0 0 ... 0 0 0]
4157458293,1303077737,[0 0 0 ... 0 0 0]
3470062725,1215526504,[0 0 0 ... 0 0 0]
2346600989,1137560885,[0 0 0 ... 0 0 0]
285051288,981732162,[0 0 0 ... 0 0 0]
435855761,1008012420,[0 0 0 ... 0 0 0]
295551318,988451685,[0 0 0 ... 0 0 0]
3120541336,1192046073,[0 0 0 ... 0 0 0]
4150979627,1301346835,[0 0 0 ... 0 0 0]
575938139,1027758425,[0 0 0 ... 0 0 0]
2497338631,1145508125,[0 0 0 ... 0 0 0]
170807126,922170542,[0 0 0 ... 0 0 0]
3881724358,1257674298,[0 0 0 ... 0 0 0]
3717704909,1237238242,[0 0 0 ... 0 0 0]
4151009257,1301823976,[0 0 0 ... 0 0 0]
4063335937,1283936938,[0 0 0 ... 0 0 0]
642243977,1172461990,[0 0 0 ... 0 0 0]
4200414321,1313906625,[0 0 0 ... 0 0 0]
278554975,1128331299,[28 28 28 ... 10 10 10]
435140828,1007795957,[0 0 0 ... 0 0 0]
3992403535,1273124445,[0 0 0 ... 0 0 0]
3929899363,1265222488,[0 0 0 ... 0 0 0]
210138610,947731199,[0 0 0 ... 0 0 0]
1653451582,1096419247,[0 0 0 ... 0 0 0]
3834587515,1250631325,[0 0 0 ... 0 0 0]
3641922011,1231031237,[0 0 0 ... 0 0 0]
3883429876,1258370843,[0 0 0 ... 0 0 0]
3959362925,1269499063,[0 0 0 ... 0 0 0]
278534073,977773966,[2 2 2 ... 0 0 0]
2350070329,1137661681,[0 0 0 ... 0 0 0]
2302478807,1135205436,[0 0 0 ... 0 0 0]
3969948689,1270219385,[0 0 0 ... 0 0 0]
3705001500,1236281620,[0 0 0 ... 0 0 0]
190110185,933260592,[0 0 0 ... 0 0 0]
1539174963,1088422392,[0 0 0 ... 0 0 0]
1738366391,1100701050,[0 0 0 ... 0 0 0]
4223005388,1321634452,[0 0 0 ... 0 0 0]
864063465,1045039599,[0 0 0 ... 0 0 0]
2851114,833260134,[0 0 0 ... 0 0 0]
4071377808,1287523300,[0 0 0 ... 0 0 0]
1857268846,1105831412,[0 0 0 ... 0 0 0]
471531459,1014036518,[0 0 0 ... 0 0 0]
130146877,884702147,[0 0 0 ... 0 0 0]
4122557953,1294201066,[0 0 0 ... 0 0 0]
3951731910,1268664281,[0 0 0 ... 0 0 0]
194061339,937777372,[0 0 0 ... 0 0 0]
2345162945,1137534868,[0 0 0 ... 0 0 0]
106120555,864584350,[0 0 0 ... 0 0 0]
767597049,1038853937,[0 0 0 ... 0 0 0]
3775997574,1243785541,[0 0 0 ... 0 0 0]
295317729,988318439,[0 0 0 ... 0 0 0]
2062707282,1123823039,[0 0 0 ... 0 0 0]
2940638374,1174584501,[0 0 0 ... 0 0 0]
3850035690,1252648267,[  0   0   0 ... 165 124 101]
3614029972,1227989179,[0 0 0 ... 0 0 0]
1869938529,1107915640,[0 0 0 ... 0 0 0]
2208949285,1131771840,[0 0 0 ... 0 0 0]
4150996490,1301525622,[0 0 0 ... 0 0 0]
3979579918,1271703172,[ 0  0  0 ... 39 33  3]
4177859924,1308761647,[0 0 0 ... 0 0 0]
3856416218,1253348246,[0 0 0 ... 0 0 0]
3997827645,1274212093,[0 0 0 ... 0 0 0]
200700125,994335127,[0 0 0 ... 0 0 0]
4181947485,1309994629,[0 0 0 ... 0 0 0]
462323462,1012946136,[0 0 0 ... 0 0 0]
4164657858,1305035976,[0 0 0 ... 0 0 0]
4142271715,1299324515,[0 0 0 ... 0 0 0]
4197530078,1313517201,[0 0 0 ... 0 0 0]
4184543373,1310681608,[0 0 0 ... 0 0 0]
4173008553,1307875293,[0 0 0 ... 0 0 0]
979219387,1051501032,[0 0 0 ... 0 0 0]
569629890,1027061562,[0 0 0 ... 0 0 0]
292161254,1053534999,[0 0 0 ... 0 0 0]
2695198167,1158121274,[0 0 0 ... 0 0 0]
1548268237,1089117951,[0 0 0 ... 0 0 0]
3776676890,1243839856,[1 1 1 ... 0 0 0]
4211185518,1317667869,[0 0 0 ... 0 0 0]
2724076417,1185806246,[0 0 0 ... 0 0 0]
4187115528,1311396789,[0 0 0 ... 0 0 0]
3879893007,1257253759,[0 0 0 ... 0 0 0]
4102011140,1291404674,[0 0 0 ... 0 0 0]
3465730580,1215027656,[0 0 0 ... 0 0 0]
292161125,987384009,[0 0 0 ... 0 0 0]
559059833,1026034059,[0 0 0 ... 0 0 0]
3974955747,1271061626,[0 0 0 ... 0 0 0]
2823144023,1166636929,[0 0 0 ... 0 0 0]
228504750,958566960,[0 0 0 ... 0 0 0]
1978506803,1117992550,[0 0 0 ... 0 0 0]
4128274476,1295959575,[0 0 0 ... 0 0 0]
4151262006,1301493595,[0 0 0 ... 0 0 0]
3836805031,1250963058,[0 0 0 ... 0 0 0]
4061577007,1283403588,[23 17 11 ...  0  0  0]
3855161613,1253151888,[0 0 0 ... 0 0 0]
166590189,920557986,[0 0 0 ... 0 0 0]
569595053,1026902103,[0 0 0 ... 0 0 0]
3814871073,1248378788,[0 0 0 ... 0 0 0]
464146787,1053470006,[0 0 0 ... 0 0 0]
491769471,1016247131,[0 0 0 ... 0 0 0]
4200950514,1316650071,[0 0 0 ... 0 0 0]
194621121,935379286,[0 0 0 ... 0 0 0]
981628137,1051813262,[0 0 0 ... 0 0 0]
283526964,980599377,[0 0 0 ... 0 0 0]
2155241157,1128775403,[0 0 0 ... 0 0 0]
62270282,1029663402,[0 0 0 ... 0 0 0]
1308104915,1072678523,[1 1 1 ... 0 0 0]
4089925432,1289797878,[0 0 0 ... 0 0 0]
3592383123,1226405789,[0 0 0 ... 0 0 0]
145591212,989863700,[0 0 0 ... 0 0 0]
4003969739,1275396931,[0 0 0 ... 0 0 0]
3651488286,1231514839,[0 0 0 ... 0 0 0]
285428194,981985911,[0 0 0 ... 0 0 0]
2454983640,1143163738,[0 0 0 ... 0 0 0]
3558562238,1220939478,[0 0 0 ... 0 0 0]
4231412467,1323299297,[0 0 0 ... 0 0 0]
92692968,858385268,[0 0 0 ... 0 0 0]
3155506830,1194186769,[0 0 0 ... 0 0 0]
176733416,925230892,[0 0 0 ... 0 0 0]
295963661,988840328,[0 0 0 ... 0 0 0]
412930043,1005548830,[0 0 0 ... 0 0 0]
3887606669,1259125508,[0 0 0 ... 0 0 0]
4182224860,1310185656,[0 0 0 ... 0 0 0]
83821414,852919698,[0 0 0 ... 0 0 0]
2660100432,1155782068,[0 0 0 ... 0 0 0]
2897228437,1170481434,[0 0 0 ... 0 0 0]
181669356,980018199,[0 0 0 ... 0 0 0]
3128686807,1192477369,[0 0 0 ... 0 0 0]
4146736848,1300479634,[0 0 0 ... 0 0 0]
4157458771,1303080232,[0 0 0 ... 0 0 0]
3716299832,1237264372,[0 0 0 ... 0 0 0]
4091026828,1290049422,[0 0 0 ... 0 0 0]
3622954162,1229066558,[0 0 0 ... 0 0 0]
2733640563,1161168524,[0 0 0 ... 0 0 0]
3929889960,1265204166,[0 0 0 ... 0 0 0]
1711729090,1100081599,[0 0 0 ... 0 0 0]
3344835089,1207713360,[0 0 0 ... 0 0 0]
220939554,956069948,[0 0 0 ... 0 0 0]
2601262375,1152179098,[0 0 0 ... 0 0 0]
2350051575,1148491095,[0 0 0 ... 0 0 0]
3925282841,1264402366,[0 0 0 ... 0 0 0]
237315772,965047292,[0 0 0 ... 0 0 0]
4182242702,1310419487,[0 0 0 ... 0 0 0]
297712090,990635957,[0 0 0 ... 0 0 0]
2335686162,1137588389,[0 0 0 ... 0 0 0]
2500437513,1294787265,[0 0 0 ... 0 0 0]
4141685633,1299542861,[0 0 0 ... 0 0 0]
3569742421,1222349217,[0 0 0 ... 0 0 0]
2076183128,1124369828,[0 0 0 ... 0 0 0]
4167095554,1306895303,[0 0 0 ... 0 0 0]
2798891843,1165108493,[0 0 0 ... 0 0 0]
264330848,972117474,[0 0 0 ... 0 0 0]
293575977,987689598,[0 0 0 ... 0 0 0]
2664721133,1156072783,[0 0 0 ... 0 0 0]
3626223403,1229659753,[0 0 0 ... 0 0 0]
4015985430,1276724161,[0 0 0 ... 0 0 0]
519536958,1020105297,[0 0 0 ... 0 0 0]
138764350,940536764,[0 0 0 ... 0 0 0]
1072680436,1057220914,[0 0 0 ... 0 0 0]
2486858699,1144712008,[0 0 0 ... 0 0 0]
4153651450,1301860072,[0 0 0 ... 0 0 0]
3971919639,1270497397,[0 0 0 ... 0 0 0]
4195569457,1312794219,[0 0 0 ... 0 0 0]
4234091070,1323877813,[0 0 0 ... 0 0 0]
3773730519,1243393545,[0 0 0 ... 0 0 0]
516416543,1318477745,[0 0 0 ... 0 0 0]
3547472523,1220524296,[0 0 0 ... 0 0 0]
2598438251,1152075622,[0 0 0 ... 0 0 0]
3463601734,1214905404,[1 1 1 ... 0 0 0]
1869201031,1107660555,[0 0 0 ... 0 0 0]
853456122,1043841406,[0 0 0 ... 0 0 0]
3786950136,1244837591,[0 0 0 ... 0 0 0]
4061615836,1283818084,[0 0 0 ... 0 0 0]
3857173153,1253519637,[0 0 0 ... 0 0 0]
3605971693,1268775864,[0 0 0 ... 0 0 0]
4231780746,1322877204,[0 0 0 ... 0 0 0]
1852548872,1182304055,[0 0 0 ... 0 0 0]
2241966388,1133087543,[0 0 0 ... 0 0 0]
455494995,1011824987,[0 0 0 ... 0 0 0]
861878746,1044666182,[0 0 0 ... 0 0 0]
183984691,930090062,[0 0 0 ... 0 0 0]
3743864691,1240164645,[0 0 0 ... 0 0 0]
206956060,941558583,[0 0 0 ... 0 0 0]
4010224998,1276042231,[0 0 0 ... 0 0 0]
1892600476,1169544682,[0 0 0 ... 0 0 0]
4037086859,1278821482,[0 0 0 ... 0 0 0]
570730748,1027361518,[0 0 0 ... 0 0 0]
2405189195,1140190625,[0 0 0 ... 0 0 0]
227141497,978861737,[0 0 0 ... 0 0 0]
3962429604,1269758611,[0 0 0 ... 0 0 0]
621447970,1032408502,[0 0 0 ... 0 0 0]
3177051721,1195807866,[0 0 0 ... 0 0 0]
4155416530,1302457823,[0 0 0 ... 0 0 0]
3027444140,1186461841,[0 0 0 ... 0 0 0]
3863252101,1254614984,[3 3 3 ... 0 0 0]
3745162464,1240234552,[0 0 0 ... 0 0 0]
3813570743,1247848677,[0 0 0 ... 0 0 0]
4074837687,1286473487,[0 0 0 ... 0 0 0]
1964580455,1241408888,[0 0 0 ... 0 0 0]
4188903080,1311674333,[0 0 0 ... 0 0 0]
2384584174,1235627760,[0 0 0 ... 0 0 0]
726915451,1037325980,[0 0 0 ... 0 0 0]
3321833457,1206313316,[0 0 0 ... 0 0 0]
128627626,883651844,[0 0 0 ... 0 0 0]
1912290,48310230,[0 0 0 ... 0 0 0]
208363010,946271075,[0 0 0 ... 0 0 0]
2940639589,1174590070,[0 0 0 ... 0 0 0]
4187408323,1311385151,[0 0 0 ... 0 0 0]
4200881156,1316257952,[0 0 0 ... 0 0 0]
541746684,1172463075,[0 0 0 ... 0 0 0]
4093285520,1291744800,[0 0 0 ... 0 0 0]
3911844367,1262863021,[0 0 0 ... 0 0 0]
3936406037,1266353646,[0 0 0 ... 0 0 0]
4188880268,1311874472,[0 0 0 ... 0 0 0]
4006486318,1275472345,[0 0 0 ... 0 0 0]
3312189761,1205825837,[0 0 0 ... 0 0 0]
4221738781,1321083823,[0 0 0 ... 0 0 0]
3866822034,1254905138,[0 0 0 ... 0 0 0]
4234233505,1323550293,[0 0 0 ... 0 0 0]
3785188010,1244541333,[0 0 0 ... 0 0 0]
4037580484,1279134335,[0 0 0 ... 0 0 0]
2695198402,1158121343,[0 0 0 ... 0 0 0]
3990162410,1272735980,[0 0 0 ... 0 0 0]
4235889575,1324033988,[0 0 0 ... 0 0 0]
88452835,858472483,[0 0 0 ... 0 0 0]
1326450891,1073940510,[0 0 0 ... 0 0 0]
4164659013,1305049540,[0 0 0 ... 0 0 0]
3133803907,1193221309,[0 0 0 ... 0 0 0]
604377488,1030821167,[0 0 0 ... 0 0 0]
1850992946,1105639186,[0 0 0 ... 0 0 0]
4079551854,1287884642,[0 0 0 ... 0 0 0]
149017675,908820104,[0 0 0 ... 0 0 0]
568667157,1026744763,[0 0 0 ... 0 0 0]
2988909076,1180994137,[0 0 0 ... 0 0 0]
1833186600,1190257186,[0 0 0 ... 0 0 0]
277611417,977198710,[0 0 0 ... 0 0 0]
4019339966,1277040972,[0 0 0 ... 0 0 0]
3971762713,1270631993,[0 0 0 ... 0 0 0]
171094641,922335703,[0 0 0 ... 0 0 0]
2195093415,1133700253,[0 0 0 ... 0 0 0]
155998403,912000679,[1 1 1 ... 0 0 0]
50447482,457831130,[0 0 0 ... 0 0 0]
272292607,974869301,[0 0 0 ... 0 0 0]
435853551,1008005500,[0 0 0 ... 0 0 0]
1064132822,1056950145,[0 0 0 ... 0 0 0]
4006519565,1275672079,[0 0 0 ... 0 0 0]
3587959922,1225139064,[0 0 0 ... 0 0 0]
4151251743,1301352344,[0 0 0 ... 0 0 0]
297983557,990908442,[0 0 0 ... 0 0 0]
4141587372,1299517617,[0 0 0 ... 0 0 0]
3881725414,1257709812,[0 0 0 ... 0 0 0]
3777117740,1243953587,[0 0 0 ... 0 0 0]
3211247843,1270252228,[0 0 0 ... 0 0 0]
4150997907,1301541587,[0 0 0 ... 0 0 0]
4187125541,1311446278,[0 0 0 ... 0 0 0]
1551495263,1089840767,[0 0 0 ... 0 0 0]
4046439378,1280711923,[0 0 0 ... 0 0 0]
67687890,1017442558,[0 0 0 ... 0 0 0]
212253877,949321013,[0 0 0 ... 0 0 0]
1122119504,1063002404,[0 0 0 ... 0 0 0]
511710344,1018586355,[0 0 0 ... 0 0 0]
3184758802,1196277452,[0 0 0 ... 0 0 0]
